role,policy_id,vector_hash,GEOID,cost_delay,cost_drop,total_cost
historical_2019,historical_2019,,36047005302,2722.0,4000.0,6722.0
historical_2019,historical_2019,,36047005400,16666.0,10000.0,26666.0
historical_2019,historical_2019,,36047005601,12764.0,9600.0,22364.0
historical_2019,historical_2019,,36047005602,120.0,2800.0,2920.0
historical_2019,historical_2019,,36047005800,3636.0,6200.0,9836.0
historical_2019,historical_2019,,36047005900,5156.0,5400.0,10556.0
historical_2019,historical_2019,,36047006000,9068.0,12000.0,21068.0
historical_2019,historical_2019,,36047006200,7628.0,4000.0,11628.0
historical_2019,historical_2019,,36047006300,674.0,1600.0,2274.0
historical_2019,historical_2019,,36047006400,10168.0,10800.0,20968.0
historical_2019,historical_2019,,36047006500,1068.0,6600.0,7668.0
historical_2019,historical_2019,,36047006600,3348.0,2600.0,5948.0
historical_2019,historical_2019,,36047006700,12188.0,13000.0,25188.0
historical_2019,historical_2019,,36047006800,2154.0,5000.0,7154.0
historical_2019,historical_2019,,36047006901,256.0,2000.0,2256.0
historical_2019,historical_2019,,36047006902,738.0,3600.0,4338.0
historical_2019,historical_2019,,36047007000,8906.0,4000.0,12906.0
historical_2019,historical_2019,,36047007100,1002.0,800.0,1802.0
historical_2019,historical_2019,,36047007200,1280.0,400.0,1680.0
historical_2019,historical_2019,,36047007400,9120.0,3200.0,12320.0
historical_2019,historical_2019,,36047007500,14012.0,7000.0,21012.0
historical_2019,historical_2019,,36047007600,15424.0,4400.0,19824.0
historical_2019,historical_2019,,36047007700,4900.0,5200.0,10100.0
historical_2019,historical_2019,,36047007800,15722.0,4800.0,20522.0
historical_2019,historical_2019,,36047008000,2144.0,8600.0,10744.0
historical_2019,historical_2019,,36047008200,8696.0,4000.0,12696.0
historical_2019,historical_2019,,36047008400,3482.0,6400.0,9882.0
historical_2019,historical_2019,,36047008500,1456.0,800.0,2256.0
historical_2019,historical_2019,,36047008600,1852.0,0.0,1852.0
historical_2019,historical_2019,,36047008800,52.0,400.0,452.0
historical_2019,historical_2019,,36047009001,4450.0,3400.0,7850.0
historical_2019,historical_2019,,36047009002,18092.0,800.0,18892.0
historical_2019,historical_2019,,36047009201,7836.0,2000.0,9836.0
historical_2019,historical_2019,,36047009202,1928.0,800.0,2728.0
historical_2019,historical_2019,,36047009401,368.0,1600.0,1968.0
historical_2019,historical_2019,,36047009402,816.0,4200.0,5016.0
historical_2019,historical_2019,,36047009600,5334.0,3200.0,8534.0
historical_2019,historical_2019,,36047009800,7874.0,1600.0,9474.0
historical_2019,historical_2019,,36047010000,1576.0,5600.0,7176.0
historical_2019,historical_2019,,36047010100,4112.0,4200.0,8312.0
historical_2019,historical_2019,,36047010200,9512.0,4000.0,13512.0
